"NORDEN"	"IDHOGAR"	"TMUNI"	"NHOGAR"	"EHOGAR"	"SEXO"	"EDAD"	"NACIONALIDAD"	"ESTUDIANTE"	"REGLADO"	"NOREGLADO"	"NEST"	"NEST2"	"C01"	"C02"	"C03"	"C04"	"MCL"	"C08"	"C09A"	"C10"	"C11A"	"C12"	"C13A"	"C14"	"C15A"	"C16"	"C17A"	"C18"	"C19A"	"C20"	"C21A"	"C22"	"C23A"	"C24"	"C25A"	"C26"	"C27A"	"C28A"	"C29A"	"C31A"	"C33A"	"C34A"	"DLIB"	"LIB"	"D42"	"D43"	"D44"	"D45"	"D47"	"D48"	"D50"	"D51"	"D53"	"D54"	"D56"	"D57"	"GTT"	"GTS"	"GTSR"	"GTSNR"	"GTB"	"E59"	"E60R1"	"E60R2"	"E60R3"	"E60R4"	"E60R5"	"E60R6"	"E61R1"	"E61R2"	"E61R3"	"E61R4"	"E61R5"	"E61R6"	"E61R7"	"E62R1"	"E62R2"	"E62R3"	"E62R4"	"FACTOR"
0007761	0326	1		2	1	14	1	1	1	1	3	04	1	1	1		0	2		2		2				2		2		1	30	1	20	2		2			270				1	360	2		2		1	120	2		2		2		800	320	50	270	480	2	2	2	2	2	2	2												1548.02589
0007762	0326	1		2	1	11	1	1	1	1	2	03	1	1	1		0	2		2		2		2		2		2		1	27	1	20	2		2			270				1	330	2		2		1	130	2		2		2		777	317	47	270	460	2	2	2	2	2	2	2												1548.02589
0008730	0327	3		2	1	64	1	0	0	0	0	00																																																																				1327.867317
0008731	0327	3		2	2	61	1	0	0	0	0	00																																																																				1327.867317
0008732	0327	3		2	2	25	1	1	1	0	4	08	3	1	4		2000	2				2												1	700	2							2		1	300			1	130	2		2		2		3130	2700	2700		430	2														2	2	2	2	1327.867317
0008733	0327	3		2	1	27	1	1	1	0	4	09	1	2	1		0	2				2												2		2							2		1	25			1	10	2		2		2		35				35	2														2	2	2	2	1327.867317
0007763	0328	3		1	2	35	1	0	0	0	0	00																																																																				1659.011387
0007764	0328	3		1	1	40	1	1	1	0	4	08	1	2	1		1500	2				2												2		2							1	500	1	100			2		2		2		2		2100	1500	1500		600	2														2	2	2	2	1659.011387
0007765	0329	1		1	1	49	1	0	0	0	0	00																																																																				710.914576
0007766	0329	1		1	2	49	1	0	0	0	0	00																																																																				710.914576
